FILE [DEBUG] 2022-02-02 18:11:27,315 main Sorter Logger - Bubble sort progressing: [20, 42, 44, 52, 36, 69, 31, 74, 57, 65, 57, 7, 0, 76, 78, 71, 70, 60, 78, 55, 56, 79, 54, 82, 32, 84, 75, 33, 86, 88, 33, 9, 90, 70, 20, 2, 86, 67, 66, 65, 45, 42, 21, 54, 4, 91, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 92, 60, 29, 46, 92, 24, 71, 93, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 94, 0, 31, 93, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,315 main Sorter Logger - Bubble sort progressing: [20, 42, 44, 36, 52, 31, 69, 57, 65, 57, 7, 0, 74, 76, 71, 70, 60, 78, 55, 56, 78, 54, 79, 32, 82, 75, 33, 84, 86, 33, 9, 88, 70, 20, 2, 86, 67, 66, 65, 45, 42, 21, 54, 4, 90, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 91, 60, 29, 46, 92, 24, 71, 92, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 93, 0, 31, 93, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,315 main Sorter Logger - Bubble sort progressing: [20, 42, 36, 44, 31, 52, 57, 65, 57, 7, 0, 69, 74, 71, 70, 60, 76, 55, 56, 78, 54, 78, 32, 79, 75, 33, 82, 84, 33, 9, 86, 70, 20, 2, 86, 67, 66, 65, 45, 42, 21, 54, 4, 88, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 90, 60, 29, 46, 91, 24, 71, 92, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 92, 0, 31, 93, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 36, 42, 31, 44, 52, 57, 57, 7, 0, 65, 69, 71, 70, 60, 74, 55, 56, 76, 54, 78, 32, 78, 75, 33, 79, 82, 33, 9, 84, 70, 20, 2, 86, 67, 66, 65, 45, 42, 21, 54, 4, 86, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 88, 60, 29, 46, 90, 24, 71, 91, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 92, 0, 31, 92, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 36, 31, 42, 44, 52, 57, 7, 0, 57, 65, 69, 70, 60, 71, 55, 56, 74, 54, 76, 32, 78, 75, 33, 78, 79, 33, 9, 82, 70, 20, 2, 84, 67, 66, 65, 45, 42, 21, 54, 4, 86, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 86, 60, 29, 46, 88, 24, 71, 90, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 91, 0, 31, 92, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 31, 36, 42, 44, 52, 7, 0, 57, 57, 65, 69, 60, 70, 55, 56, 71, 54, 74, 32, 76, 75, 33, 78, 78, 33, 9, 79, 70, 20, 2, 82, 67, 66, 65, 45, 42, 21, 54, 4, 84, 74, 34, 58, 41, 62, 21, 57, 86, 39, 17, 65, 86, 60, 29, 46, 86, 24, 71, 88, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 90, 0, 31, 91, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 31, 36, 42, 44, 7, 0, 52, 57, 57, 65, 60, 69, 55, 56, 70, 54, 71, 32, 74, 75, 33, 76, 78, 33, 9, 78, 70, 20, 2, 79, 67, 66, 65, 45, 42, 21, 54, 4, 82, 74, 34, 58, 41, 62, 21, 57, 84, 39, 17, 65, 86, 60, 29, 46, 86, 24, 71, 86, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 88, 0, 31, 90, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 31, 36, 42, 7, 0, 44, 52, 57, 57, 60, 65, 55, 56, 69, 54, 70, 32, 71, 74, 33, 75, 76, 33, 9, 78, 70, 20, 2, 78, 67, 66, 65, 45, 42, 21, 54, 4, 79, 74, 34, 58, 41, 62, 21, 57, 82, 39, 17, 65, 84, 60, 29, 46, 86, 24, 71, 86, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 86, 0, 31, 88, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 31, 36, 7, 0, 42, 44, 52, 57, 57, 60, 55, 56, 65, 54, 69, 32, 70, 71, 33, 74, 75, 33, 9, 76, 70, 20, 2, 78, 67, 66, 65, 45, 42, 21, 54, 4, 78, 74, 34, 58, 41, 62, 21, 57, 79, 39, 17, 65, 82, 60, 29, 46, 84, 24, 71, 86, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 86, 0, 31, 86, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 31, 7, 0, 36, 42, 44, 52, 57, 57, 55, 56, 60, 54, 65, 32, 69, 70, 33, 71, 74, 33, 9, 75, 70, 20, 2, 76, 67, 66, 65, 45, 42, 21, 54, 4, 78, 74, 34, 58, 41, 62, 21, 57, 78, 39, 17, 65, 79, 60, 29, 46, 82, 24, 71, 84, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 86, 0, 31, 86, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
